frame,track_id,class,u_px,v_px,image_region,image_lane,x_world_m,y_world_m,map_x,map_y,longitude,latitude,map_lane_code_raw,map_lane_code,map_lane_id,speed_kmh,raw_x_world_m,raw_y_world_m,raw_longitude,raw_latitude,output_filter_reason
292,3,target,836.6,325.0,down,down_L4,31.30,108.85,,,117.41802226,40.39883680,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.6,31.30,108.85,117.41518143,40.39875357,
293,3,target,838.0,326.6,down,down_L4,31.27,107.50,,,117.41800637,40.39883723,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.6,31.27,107.50,117.41519731,40.39875342,
294,3,target,839.4,327.9,down,down_L4,31.26,106.36,,,117.41799288,40.39883759,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.6,31.26,106.36,117.41521079,40.39875313,
295,3,target,841.3,329.0,down,down_L4,31.31,105.35,,,117.41798094,40.39883791,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.6,31.31,105.35,117.41522269,40.39875240,
296,3,target,842.9,330.5,down,down_L4,31.30,104.17,,,117.41796707,40.39883829,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.6,31.30,104.17,117.41523654,40.39875209,
297,3,target,844.6,331.7,down,down_L4,31.33,103.08,,,117.41795418,40.39883863,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.6,31.33,103.08,117.41524941,40.39875156,
298,3,target,846.0,333.4,down,down_L4,31.29,101.82,,,117.41793937,40.39883903,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.6,31.29,101.82,117.41526421,40.39875146,
299,3,target,847.3,334.7,down,down_L4,31.28,100.79,,,117.41792724,40.39883936,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.4,31.28,100.79,117.41527633,40.39875124,
300,3,target,849.2,336.1,down,down_L4,31.30,99.65,,,117.41791377,40.39883973,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.4,31.30,99.65,117.41528977,40.39875075,
301,3,target,851.0,337.6,down,down_L4,31.31,98.52,,,117.41790041,40.39884009,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.4,31.31,98.52,117.41530311,40.39875033,
302,3,target,852.5,339.4,down,down_L4,31.27,97.21,,,117.41788504,40.39884052,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.4,31.27,97.21,117.41531847,40.39875023,
303,3,target,854.4,340.7,down,down_L4,31.30,96.20,,,117.41787309,40.39884086,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.4,31.30,96.20,117.41533040,40.39874968,
304,3,target,856.5,342.4,down,down_L4,31.31,94.95,,,117.41785837,40.39884128,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.4,31.31,94.95,117.41534510,40.39874919,
305,3,target,858.0,343.9,down,down_L4,31.31,93.95,,,117.41784660,40.39884161,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.4,31.31,93.95,117.41535686,40.39874895,
306,3,target,860.0,345.8,down,down_L4,31.29,92.61,,,117.41783075,40.39884206,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,106.6,31.29,92.61,117.41537269,40.39874864,
307,3,target,862.0,347.4,down,down_L4,31.31,91.50,,,117.41781773,40.39884243,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,106.6,31.31,91.50,117.41538568,40.39874820,
308,3,target,863.9,349.2,down,down_L4,31.30,90.30,,,117.41780360,40.39884283,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,106.6,31.30,90.30,117.41539980,40.39874791,
309,3,target,865.9,351.3,down,down_L4,31.28,88.98,,,117.41778804,40.39884327,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,106.6,31.28,88.98,117.41541535,40.39874768,
310,3,target,867.9,353.1,down,down_L4,31.28,87.82,,,117.41777436,40.39884365,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,106.6,31.28,87.82,117.41542901,40.39874732,
311,3,target,870.3,354.9,down,down_L4,31.30,86.64,,,117.41776039,40.39884405,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,107.1,31.30,86.64,117.41544296,40.39874676,
312,3,target,872.4,356.6,down,down_L4,31.31,85.59,,,117.41774810,40.39884439,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,107.1,31.31,85.59,117.41545523,40.39874632,
313,3,target,874.5,358.4,down,down_L4,31.32,84.52,,,117.41773537,40.39884475,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,107.1,31.32,84.52,117.41546794,40.39874594,
314,3,target,877.0,360.7,down,down_L4,31.31,83.12,,,117.41771894,40.39884522,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,107.1,31.31,83.12,117.41548435,40.39874560,
315,3,target,879.1,362.9,down,down_L4,31.29,81.90,,,117.41770457,40.39884562,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,107.1,31.29,81.90,117.41549871,40.39874539,
316,3,target,881.7,365.0,down,down_L4,31.30,80.69,,,117.41769025,40.39884603,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,107.1,31.30,80.69,117.41551300,40.39874492,
317,3,target,884.3,367.2,down,down_L4,31.31,79.47,,,117.41767594,40.39884643,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,107.1,31.31,79.47,117.41552729,40.39874449,
318,3,target,886.7,369.0,down,down_L4,31.33,78.45,,,117.41766387,40.39884677,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,105.8,31.33,78.45,117.41553934,40.39874400,
319,3,target,889.0,371.4,down,down_L4,31.31,77.23,,,117.41764950,40.39884717,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,105.8,31.31,77.23,117.41555370,40.39874380,
320,3,target,891.5,373.5,down,down_L4,31.31,76.10,,,117.41763614,40.39884755,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,105.8,31.31,76.10,117.41556704,40.39874340,
321,3,target,894.1,376.1,down,down_L4,31.30,74.83,,,117.41762120,40.39884797,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,105.8,31.30,74.83,117.41558197,40.39874313,
322,3,target,896.7,378.5,down,down_L4,31.29,73.63,,,117.41760707,40.39884837,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,105.8,31.29,73.63,117.41559608,40.39874282,
323,3,target,899.9,380.6,down,down_L4,31.33,72.54,,,117.41759422,40.39884874,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,105.8,31.33,72.54,117.41560890,40.39874214,
324,3,target,902.2,383.5,down,down_L4,31.29,71.26,,,117.41757909,40.39884916,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,106.7,31.29,71.26,117.41562403,40.39874213,
325,3,target,905.3,386.3,down,down_L4,31.28,69.93,,,117.41756350,40.39884960,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,106.7,31.28,69.93,117.41563960,40.39874180,
326,3,target,908.0,388.7,down,down_L4,31.28,68.85,,,117.41755075,40.39884996,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,106.7,31.28,68.85,117.41565233,40.39874145,
327,3,target,911.0,391.3,down,down_L4,31.29,67.72,,,117.41753734,40.39885034,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,106.7,31.29,67.72,117.41566573,40.39874107,
328,3,target,914.7,394.0,down,down_L4,31.32,66.49,,,117.41752293,40.39885075,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,106.7,31.32,66.49,117.41568010,40.39874042,
329,3,target,918.0,397.2,down,down_L4,31.30,65.18,,,117.41750745,40.39885119,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,106.7,31.30,65.18,117.41569557,40.39874015,
330,3,target,921.2,400.0,down,down_L4,31.31,64.03,,,117.41749391,40.39885157,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,106.7,31.31,64.03,117.41570908,40.39873976,
331,3,target,924.8,402.7,down,down_L4,31.33,62.91,,,117.41748069,40.39885194,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,107.2,31.33,62.91,117.41572228,40.39873919,
332,3,target,928.5,405.6,down,down_L4,31.35,61.77,,,117.41746728,40.39885232,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,107.2,31.35,61.77,117.41573567,40.39873867,
