frame,track_id,class,u_px,v_px,image_region,image_lane,x_world_m,y_world_m,map_x,map_y,longitude,latitude,map_lane_code_raw,map_lane_code,map_lane_id,speed_kmh,raw_x_world_m,raw_y_world_m,raw_longitude,raw_latitude,output_filter_reason,ModelHeight
260,3,target,798.1,292.5,down,down_L4,31.13,145.53,,,117.4184546,40.39882503,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.13,145.53,117.4147498,40.39876639,,573.785
261,3,target,799.3,293.1,down,down_L4,31.17,144.57,,,117.4184434,40.39882534,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.17,144.57,117.414761,40.39876569,,573.769
262,3,target,800.3,294.1,down,down_L4,31.17,143.26,,,117.4184279,40.39882578,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.17,143.26,117.4147764,40.39876533,,573.755
263,3,target,801.6,294.5,down,down_L4,31.24,142.53,,,117.4184192,40.39882602,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.24,142.53,117.414785,40.39876444,,573.745
264,3,target,802,295.6,down,down_L4,31.17,141.24,,,117.4184041,40.39882645,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.17,141.24,117.4148002,40.39876465,,573.724
265,3,target,803.2,296.3,down,down_L4,31.21,140.21,,,117.4183919,40.39882679,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.21,140.21,117.4148124,40.39876401,,573.705
266,3,target,804,297.4,down,down_L4,31.17,138.86,,,117.418376,40.39882724,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.17,138.86,117.4148282,40.39876396,,573.687
267,3,target,805.1,298.2,down,down_L4,31.19,137.78,,,117.4183633,40.39882759,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.19,137.78,117.4148409,40.39876345,,573.681
268,3,target,806.4,299,down,down_L4,31.22,136.64,,,117.4183498,40.39882796,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.22,136.64,117.4148544,40.39876277,,573.681
269,3,target,807.6,300,down,down_L4,31.23,135.38,,,117.418335,40.39882836,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,101.3,31.23,135.38,117.4148691,40.39876238,,573.668
270,3,target,808.4,300.5,down,down_L4,31.25,134.64,,,117.4183262,40.39882859,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,101.3,31.25,134.64,117.4148779,40.39876197,,573.657
271,3,target,809.5,301.8,down,down_L4,31.22,133.14,,,117.4183086,40.39882907,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,101.3,31.22,133.14,117.4148955,40.39876178,,573.638
272,3,target,810.6,303.1,down,down_L4,31.19,131.66,,,117.4182911,40.39882954,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,101.3,31.19,131.66,117.414913,40.39876154,,573.625
273,3,target,811.7,303.9,down,down_L4,31.2,130.63,,,117.418279,40.39882987,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,101.3,31.2,130.63,117.4149251,40.39876111,,573.625
274,3,target,812.9,304.9,down,down_L4,31.21,129.42,,,117.4182647,40.39883025,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,101.3,31.21,129.42,117.4149393,40.39876069,,573.601
275,3,target,813.8,305.8,down,down_L4,31.2,128.4,,,117.4182527,40.39883058,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,101.3,31.2,128.4,117.4149514,40.39876047,,573.582
276,3,target,814.8,306.7,down,down_L4,31.2,127.37,,,117.4182406,40.39883091,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,101.3,31.2,127.37,117.4149634,40.39876011,,573.572
277,3,target,816.1,307.9,down,down_L4,31.21,126.06,,,117.4182251,40.39883132,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,101.3,31.21,126.06,117.4149789,40.3987597,,573.556
278,3,target,817.6,308.9,down,down_L4,31.23,124.85,,,117.4182109,40.39883171,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,101.3,31.23,124.85,117.4149931,40.39875913,,573.548
279,3,target,818.7,309.9,down,down_L4,31.23,123.8,,,117.4181984,40.39883204,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,101.3,31.23,123.8,117.4150055,40.39875876,,573.526
